geoid,year,HIV
22037,2012,29.2
22039,2012,36.6
22041,2012,35.9
22043,2012,18.13
22045,2012,8.4
22047,2012,53.3
22049,2012,0
22051,2012,25.6
22053,2012,9.54
22055,2012,16
22057,2012,6.2
22059,2012,112.9
22061,2012,17.5
22063,2012,14.1
22065,2012,24.68
22067,2012,10.89
22069,2012,21.6
22071,2012,72
22073,2012,37.3
22075,2012,16.72
22077,2012,13.2
22079,2012,21.3
22081,2012,33.4
22083,2012,19.12
22085,2012,16.44
22087,2012,21
22089,2012,16.3
22091,2012,27.1
22093,2012,33.5
22095,2012,49.5
22097,2012,25.3
22099,2012,16.3
22101,2012,11.3
22103,2012,11.2
22105,2012,18.7
22107,2012,60.56
22109,2012,9.9
22111,2012,0
22113,2012,16.9
22115,2012,11.7
22117,2012,20.8
22119,2012,9.77
22121,2012,16.59
22123,2012,34.75
22125,2012,25.97
22127,2012,0
23001,2012,5.5
23003,2012,0
23005,2012,8.2
23007,2012,0
23009,2012,7.33
23011,2012,7.7
23013,2012,10.08
23015,2012,0
23017,2012,0
23019,2012,1.95
23021,2012,0
23023,2012,0
23025,2012,0
23027,2012,0
23029,2012,12.32
23031,2012,4.1
24001,2012,5.4
24003,2012,10
24005,2012,26.8
24009,2012,13.4
24011,2012,12.23
24013,2012,1.79
24015,2012,3.93
24017,2012,23.3
24019,2012,12.29
24021,2012,9.6
24023,2012,10.05
24025,2012,9.1
24027,2012,9.3
24029,2012,19.81
24031,2012,23.4
24033,2012,44.2
24035,2012,8.23
24037,2012,9
24039,2012,15.24
24041,2012,0
24043,2012,9.6
24045,2012,8.3
24047,2012,7.76
24510,2012,79.6
25001,2012,4.7
25003,2012,3.08
25005,2012,10.5
25007,2012,0
25009,2012,12.4
25011,2012,5.59
25013,2012,20.1
25015,2012,4.9
25017,2012,11
25019,2012,0
25021,2012,4.7
25023,2012,10
25025,2012,30.7
25027,2012,8.1
26001,2012,0
26003,2012,0
26005,2012,3.57
26007,2012,10.26
26009,2012,0
26011,2012,0
26013,2012,0
26015,2012,0
26017,2012,2.81
26019,2012,0
26021,2012,7.6
26023,2012,6.84
26025,2012,5.3
26027,2012,5.74
26029,2012,0
26031,2012,0
26033,2012,0
26035,2012,0
26037,2012,5.26
26039,2012,0
26041,2012,0
26043,2012,0
26045,2012,3.7
26047,2012,0
26049,2012,9.5
26051,2012,0
26053,2012,0
26055,2012,4.49
26057,2012,9.51
26059,2012,8.65
26061,2012,0
26063,2012,9.24
26065,2012,10.3
26067,2012,6.26
26069,2012,15.77
26071,2012,0
26073,2012,5.66
26075,2012,8.2
26077,2012,12.1
26079,2012,0
26081,2012,9.2
26083,2012,0
26085,2012,0
26087,2012,3.4
26089,2012,18.51
26091,2012,4.04
26093,2012,2.19
26095,2012,0
26097,2012,35.92
26099,2012,8.2
26101,2012,0
26103,2012,5.89
26105,2012,0
26107,2012,6.93
26109,2012,0
26111,2012,0
26113,2012,0
26115,2012,1.99
26117,2012,6.34
26119,2012,0
26121,2012,2.35
26123,2012,0
26125,2012,10.7
26127,2012,15.2
26129,2012,0
26131,2012,0
26133,2012,0
26135,2012,0
26137,2012,0
26139,2012,1.49
26141,2012,0
26143,2012,0
26145,2012,8.4
26147,2012,2.49
26149,2012,6.58
26151,2012,0
26153,2012,0
26155,2012,0
26157,2012,7.32
26159,2012,3.98
26161,2012,8.6
26163,2012,24.6
26165,2012,0
27001,2012,0
27003,2012,3.3
27005,2012,0
27007,2012,8.82
27009,2012,10.29
27011,2012,0
27013,2012,6.15
27015,2012,0
27017,2012,0
27019,2012,4.27
27021,2012,10.58
27023,2012,0
